㓦劃	bo4 hua4
熟精	shu2 jing1
熟紙	shu2 zhi3
熟絡	shu2 luo4
熟絲	shu2 si1
熟練	shu2 lian4
熟羅	shu2 luo2
熟習	shu2 xi2
熟能無惑	shu2 neng2 wu2 huo4
熟能生巧	shu2 neng2 sheng1 qiao3
熟腳	shu2 jiao3
熟苗	shu2 miao2
熟茶	shu2 cha2
熟荒	shu2 huang1
熟菜	shu2 cai4
熟落	shu2 luo4
熟藥	shu2 yao4
熟視	shu2 shi4
熟視無睹	shu2 shi4 wu2 du3
熟話	shu2 hua4
熟諳	shu2 an1
熟識	shu2 shi4
熟識	shu2 shi5
熟讀	shou2 du2
熟讀王叔和	shu2 du2 wang2 shu2 he2
熟讀王叔和不如臨症多	shu2 du2 wang2 shu1 he2 bu4 ru2 lin2 zheng4 duo1
熟讀玩味	shu2 du2 wan4 wei4
熟讀精思	shu2 du2 jing1 si1
熟貨	shu2 huo4
熟路	shu2 lu4
熟路輕車	shu2 lu4 qing1 ju1
熟路輕轍	shu2 lu4 qing1 che4
熟道	shu2 dao4
熟道兒	shu2 dao4 er5
熟銅	shu2 tong2
熟鐵	shu2 tie3
熟門熟路	shu2 men2 shu2 lu4
熟閑	shu2 xian2
熟間	shu2 jian4
熟面人	shu2 mian4 ren2
熟食	shu2 shi2
熟魏生張	shu2 wei4 sheng1 zhang1
熠沒	yi4 mo4
熨斗	yun4 dou3
熨法	yun4 fa3
熨衣枕	yun4 yi1 zhen3
熨貼	yu4 tie1
熬不住	ao2 bu5 zhu4
熬不過	ao2 bu5 guo4
熬出頭	ao2 chu1 tou2
熬刑	ao2 xing2
熬夜	ao2 ye4
熬審	ao2 shen3
熬心	ao1 xin1
熬心血	ao2 xin1 xue4
熬惱	ao1 nao3
熬枯受淡	ao2 ku1 shou4 dan4
熬油	ao2 you2
熬清守淡	ao2 qing1 shou3 dan4
熬煉	ao2 lian4
熬煎	ao2 jian1
熬煮	ao2 zhu3
熬磨	ao2 mo5
熬稃	ao1 fu1
熬糖	ao2 tang2
熬膏	ao2 gao1
熬膩	ao1 ni4
熬菜	ao1 cai4
熬藥	ao2 yao4
熬頭	ao1 tou5
熬鷹	ao2 ying1
熯天熾地	han4 tian1 chi4 di4
熱乾麵	re4 gan1 mian4
熱傳導	re4 chuan2 dao3
熱切	re4 qie4
熱剌剌	re4 la4 la4
熱力學溫度	re4 li4 xue2 wen1 du4
熱力性紊流	re4 li4 xing4 wen4 liu2
熱和	re4 huo5
熱喪	re4 sang1
熱地	re4 di4
熱地上蚰蜒	re4 di4 shang4 you2 yan2
熱容量	re4 rong2 liang4
熱導率	re4 dao3 lv4
熱屏	re4 ping2
熱島效應	re4 dao3 xiao4 ying4
熱帶地區	re4 dai4 di4 qu1
熱帶氣旋	re4 dai4 qi4 xuan4
熱度	re4 du4
熱得快	re4 de5 kuai4
熱核反應	re4 he2 fan3 ying4
熱核反應堆	re4 he2 fan3 ying4 dui1
熱核聚變反應	re4 he2 ju4 bian4 fan3 ying4
熱比亞‧卡德爾	re4 bi3 ya3 eng3 ka3 de2 er3
熱比亞‧卡德爾	re4 bi3 ya4 eng3 ka3 de2 er3
熱比婭‧卡德爾	re4 bi3 ya4 eng3 ka3 de2 er3
熱淚盈眶	re4 lei4 ying2 kuang1
熱爪哇	re4 zhao3 wa1
熱痙攣	re4 jing4 lvan2
熱發光劑量計	re4 fa1 guang1 ji4 liang4 ji4
熱脈衝	re4 mai4 chong1
熱處理	re4 chu3 li3
熱血	re4 xie3
熱連球菌	re4 lian2 qiu2 jun1
熱量	re4 liang4
熱量單位	re4 liang4 dan1 wei4
熱門音樂	re4 men2 yin1 yue4
熱騰騰	re4 teng1 teng1
熱鬧	re4 nao5
熱鬧哄哄	re4 nao5 hong1 hong1
熾盛	chi4 sheng4
熾結	chi4 jie2
燃料處理廠	ran2 liao4 chu4 li3 chang3
燃燒彈	ran2 shao1 dan4
燃犀溫嶠	ran2 xi1 wen1 qiao2
燈夕	deng1 xi4
燈期	deng1 qi2
燈籠	deng1 long5
燈芯	deng1 xin4
燉煌	dun1 huang2
燎原	liao2 yuan2
燎原	liao4 yuan2
燎原之火	liao4 yuan2 zhi1 huo3
燎星	liao4 xing1
燎朗	liao4 lang3
燎毛	liao3 mao2
燎泡	liao2 pao4
燎漿	liao2 jiang1
燎漿泡	liao2 jiang1 pao4
燎灼	liao3 zhuo2
燎燎	liao4 liao4
燎髮	liao3 fa3
燒刀子	shao1 dao1 zi5
燒喇嘛	shao1 la3 ma5
燒地眠	shao1 di4 mian2
燒埋	shao1 mai2
燒埋錢	shao1 mai2 qian2
燒夷彈	shao1 yi2 dan4
燒火焜	shao1 huo3 gun4
燒糊了洗臉水	shao1 hu2 le5 xi3 lian3 shui3
燒結	shao1 jie2
燒茄子	shao1 qie2 zi5
燒賣	shao1 mai5
燒餅	shao1 bing3
燒餅	shao1 bing5
燒鴨子	shao1 ya1 zi5
燔燎	fan2 liao4
燕丸	yan4 wan2
燕丹	yan1 dan1
燕九節	yan1 jiu3 jie2
燕京	yan1 jing1
燕京啤酒	yan1 jing1 pi2 jiu3
燕京大學	yan4 jing1 da4 xue2
燕京歲時記	yan1 jing1 sui4 shi2 ji4
燕京酒	yan1 jing1 jiu3
燕京酒啤酒	yan1 jing1 jiu3 pi2 jiu3
燕侶	yan4 lv3
燕侶鶯儔	yan4 lv3 ying1 chou2
燕儔鶯侶	yan4 chou2 ying1 lv3
燕入他家	yan4 ru4 ta1 jia1
燕几	yan4 ji1
燕出	yan4 chu1
燕剪	yan4 jian3
燕勞	yan4 lao4
燕啄皇孫	yan4 zhuo2 huang2 sun1
燕喜	yan4 xi3
燕國	yan1 guo2
燕坐	yan4 zuo4
燕太子丹	yan1 tai4 zi3 dan1
燕女	yan4 nv3
燕好	yan4 hao3
燕妒鶯慚	yan4 du4 ying1 can2
燕姞夢蘭	yan1 ji2 meng4 lan2
燕婉	yan4 wan3
燕子	yan4 zi5
燕子樓	yan4 zi3 lou2
燕子磯	yan4 zi3 ji1
燕子箋	yan4 zi3 jian1
燕子銜食	yan4 zi5 xian2 shi2
燕安	yan4 an1
燕安鴆毒	yan4 an1 zhen4 du2
燕尾	yan4 wei3
燕尾服	yan4 wei3 fu2
燕尾蝶	yan1 wei3 die2
燕居	yan4 ju1
燕山	yan1 shan1
燕巢	yan4 chao2
燕巢幕上	yan4 chao2 mu4 shang4
燕巢於幕	yan4 chao2 yu2 mu4
燕巢鄉	yan4 chao2 xiang1
燕市酒人	yan1 shi4 jiu3 ren2
燕支	yan1 zhi1
燕支山	yan1 zhi1 shan1
燕昭王	yan1 zhao1 wang2
燕昭築台	yan1 zhao1 zhu2 tai2
燕昭築臺	yan1 zhao1 zhu2 tai2
燕朋	yan4 peng2
燕服	yan4 fu2
燕樂	yan4 le4
燕樂	yan4 yue4
燕樂二十八調	yan4 yue4 er4 shi2 ba1 diao4
燕樂半字譜	yan4 yue4 ban4 zi4 pu3
燕樂考源	yan4 yue4 kao3 yuan2
燕歌行	yan1 ge1 xing2
燕毛	yan4 mao2
燕然山	yan1 ran2 shan1
燕然山銘	yan1 ran2 shan1 ming2
燕燕	yan4 yan4
燕燕于飛	yan4 yan4 yu2 fei1
燕爾	yan4 er3
燕爾新婚	yan4 er3 xin1 hun1
燕玉	yan1 yu4
燕瘦環肥	yan4 shou4 huan2 fei2
燕皮	yan4 pi2
燕石為玉	yan4 shi2 wei2 yu4
燕禮	yan4 li3
燕私	yan4 si1
燕科	yan4 ke1
燕窩	yan4 wo1
燕約鶯期	yan4 yue1 ying1 qi2
燕翼	yan4 yi4
燕翼詒謀	yan4 yi4 yi2 mou2
燕脂	yan1 zhi1
燕台	yan1 tai2
燕臺	yan1 tai2
燕舞鶯啼	yan4 wu3 ying1 ti2
燕菜	yan4 cai4
燕衎	yan4 kan4
燕語	yan4 yu3
燕語鶯呼	yan4 yu3 ying1 hu1
燕語鶯啼	yan4 yu3 ying1 ti2
燕語鶯聲	yan4 yu3 ying1 sheng1
燕說	yan1 shuo1
燕賀	yan4 he4
燕趙	yan1 zhao4
燕趙都市報	yan1 zhao4 du1 shi4 bao4
燕足繫書	yan4 zu2 xi4 shu1
燕足繫詩	yan4 zu2 xi4 shi1
燕遊	yan4 you2
燕鑒	yan4 jian4
燕雀	yan4 que4
燕雀伍	yan4 que4 wu3
燕雀安知鴻鵠之志	yan4 que4 an1 zhi1 hong2 hu2 zhi1 zhi4
燕雀安知鴻鵠志	yan4 que4 an1 zhi1 hong2 hu2 zhi4
燕雀烏鵲	yan4 que4 wu1 que4
燕雀焉知鴻鵠之志	yan4 que4 yan1 zhi1 hong2 gu3 zhi1 zhi4
燕雀相賀	yan4 que4 xiang1 he4
燕雀相賀	yan4 que4 xiang4 he4
燕雀處堂	yan4 que4 chu3 tang2
燕雀處堂	yan4 que4 chu4 tang2
燕雀處屋	yan4 que4 chu3 wu1
燕雀豈知鴻鵠志	yan4 que4 qi3 zhi1 hong2 hu2 zhi4
燕雁代飛	yan4 yan4 dai4 fei1
燕雲十六州	yan1 yun2 shi2 liu4 zhou1
燕頷虎頭	yan4 han4 hu3 tou2
燕頷虎頸	yan4 han4 hu3 jing3
燕頷虎鬚	yan4 han4 hu3 xu1
燕飲	yan4 yin3
燕鴴	yan4 heng2
燕鷗	yan4 ou1
燕麥	yan4 mai4
燕麥片	yan4 mai4 pian4
燕麥粥	yan4 mai4 zhou1
燙頭髮	tang4 tou2 fa5
燙髮	tang4 fa3
燜燒鍋	men1 shao1 guo1
營利事業所得稅	ying2 li4 shi4 ye4 suo3 de2 shui4
營勾	ying2 gou1
營地	ying2 di4
營業時候	ying2 ye4 shi2 hou5
營業時間	ying2 ye4 shi2 jian1
營混子	ying2 hun4 zi5
營生	ying2 sheng1
營生	ying2 sheng5
營謀遂順	ying2 mou2 sui2 shun4
營長	ying2 zhang3
營養失調	ying2 yang3 shi1 tiao2
營養強化蛋	ying2 yang3 qiang2 hua4 dan4
營養強化食品	ying2 yang3 qiang2 hua4 shi2 pin3
燠熱	ao4 re4
燠熱	yu4 re4
燥子	sao4 zi5
燭照數計	zhu2 zhao4 shu4 ji4
燮和	xie4 he2
燮和之任	xie4 he2 zhi1 ren4
燾育	tao2 yu4
爆冷門兒	bao4 leng3 men2 er5
爆彈	bao4 dan4
爆炸	bao4 zha4
爆炸上限	bao4 zha4 shang4 xian4
爆炸下限	bao4 zha4 xia4 xian4
爆炸力	bao4 zha4 li4
爆炸性	bao4 zha4 xing4
爆炸波	bao4 zha4 bo1
爆炸物	bao4 zha4 wu4
爆炸的無效彈	bao4 zha4 de5 wu2 xiao4 dan4
爆肚	bao4 du3
爆肚兒	bao4 du3 er5
爇櫬	ruo4 chen4
爐子	lu2 zi5
爐房	lu2 fang5
爐石水泥	lu2 shi2 shui3 ni2
爛了舌頭	lan4 le5 she2 tou5
爛攤子	lan4 tan1 zi5
爛泥	lan4 ni2
爛泥防有刺	lan4 ni2 fang2 you3 ci4
爛熟	lan4 shu2
爛片	lan4 pian4
爛糊	lan4 hu5
爛腸子	lan4 chang2 zi5
爛醉如泥	lan4 zui4 ru2 ni2
爣閬	tang3 lang3
爪兒	zhua3 er5
爪印	zhao3 yin4
爪哇	zhao3 wa1
爪哇人	zhao3 wa1 ren2
爪哇國	zhao3 wa1 guo2
爪哇島	zhao3 wa1 dao3
爪哇族	zhao3 wa1 zu2
爪士	zhao3 shi4
爪子	zhua3 zi5
爪尋	zhao3 xun2
爪尖兒	zhua3 jian1 er5
爪牙	zhao3 ya2
爪牙之士	zhao3 ya2 zhi1 shi4
爪牙之將	zhao3 ya2 zhi1 jiang4
爪牙吏	zhao3 ya2 li4
爪牙官	zhao3 ya2 guan1
爪甲	zhao3 jia3
爪甲點金	zhao3 jia3 dian3 jin1
爪痕	zhao3 hen2
爪老	zhao3 lao3
爪袖	zhao3 xiu4
爪角	zhao3 jiao3
爪蹄類	zhao3 ti2 lei4
爬下	pa2 xia5
爬山調	pa2 shan1 diao4
爬得高	pa2 de5 gao1
爬拉	pa2 la5
爬格子	pa2 ge2 zi5
爬犁	pa2 li5
爬行	pa2 xing2
爬行動物	pa2 xing2 dong4 wu4
爬行類	pa2 xing2 lei4
爭分奪秒	zheng1 fen1 duo2 miao3
爭勝要強	zheng1 sheng4 yao4 qiang2
爭坐位帖	zheng1 zuo4 wei4 tie4
爭差	zheng1 cha1
爭強	zheng1 qiang2
爭強好勝	zheng1 qiang2 hao4 sheng4
爭強賭勝	zheng1 qiang2 du3 sheng4
爭強顯勝	zheng1 qiang2 xian3 sheng4
爭強鬥勝	zheng1 qiang2 dou4 sheng4
爭得	zheng1 de2
爭權攘利	zheng1 quan2 rang2 li4
爭相	zheng1 xiang1
爭短論長	zheng1 duan3 lun4 chang2
爭長爭短	zheng1 chang2 zheng1 duan3
爭長競短	zheng1 chang2 jing4 duan3
爭長論短	zheng1 chang2 lun4 duan3
爭面子	zheng1 mian4 zi5
為主	wei2 zhu3
為主作倡	wei2 zhu3 zuo4 chang4
為了	wei4 le5
為人	wei2 ren2
為人作嫁	wei4 ren2 zuo4 jia4
為人師表	wei2 ren2 shi1 biao3
為人民服務	wei4 ren2 min2 fu2 wu4
為人為徹	wei4 ren2 wei4 che4
為人行事	wei2 ren2 xing2 shi4
為人解圍	wei4 ren2 jie3 wei2
為什麼	wei4 shen2 me5
為仁不富	wei2 ren2 bu2 fu4
為今之計	wei2 jin1 zhi1 ji4
為伍	wei2 wu3
為何	wei4 he2
為例	wei4 li4
為公	wei4 gong1
為叢敺雀	wei4 cong2 qu1 que4
為叢驅雀	wei4 cong2 qu1 que4
為善	wei2 shan4
為善不欲人知	wei2 shan4 bu2 yu4 ren2 zhi1
為善最樂	wei2 shan4 zui4 le4
為國捐軀	wei4 guo2 juan1 qu1
為國爭光	wei4 guo2 zheng1 guang1
為國為民	wei4 guo2 wei4 min2
為好成歉	wei2 hao3 cheng2 qian4
為子死孝	wei2 zi3 si3 xiao4
為學	wei2 xue2
為害	wei2 hai4
為富不仁	wei2 fu4 bu4 ren2
為小失大	wei4 xiao3 shi1 da4
為山九仞	wei2 shan1 jiu3 ren4
為德不卒	wei2 de2 bu4 zu2
為德不終	wei2 de2 bu4 zhong1
為情造文	wei4 qing2 zao4 wen2
為惡不悛	wei2 e4 bu4 quan1
為我	wei4 wo3
為所欲為	wei2 suo3 yu4 wei2
為政	wei2 zheng4
為政不在多言	wei2 zheng4 bu2 zai4 duo1 yan2
為數	wei2 shu4
為時	wei2 shi2
為時不晚	wei2 shi2 bu4 wan3
為時已晚	wei2 shi2 yi3 wan3
為時未晚	wei2 shi2 wei4 wan3
為時過早	wei2 shi2 guo4 zao3
為期	wei2 qi1
為期	wei2 qi2
為期不遠	wei2 qi2 bu4 yuan3
為止	wei2 zhi3
為此	wei4 ci3
為民喉舌	wei2 min2 hou2 she2
為民請命	wei4 min2 qing3 ming4
為民除害	wei4 min2 chu2 hai4
為民除患	wei4 min2 chu2 huan4
為法自弊	wei2 fa3 zi4 bi4
為淵敺魚	wei4 yuan1 qu1 yu2
為準	wei2 zhun3
為甚麼	wei4 shen2 me5
為生	wei2 sheng1
為的吃穿	wei4 de5 chi1 chuan1
為的是	wei4 de5 shi4
為著	wei4 zhe5
為臣死忠	wei2 chen2 si3 zhong1
為荷	wei2 he4
為虎作倀	wei4 hu3 zuo4 chang1
為虎傅翼	wei4 hu3 fu4 yi4
為虎添翼	wei4 hu3 tian1 yi4
為虺弗摧	wei2 hui3 fu2 cui1
為蛇添足	wei4 she2 tian1 zu2
為蛇畫足	wei4 she2 hua4 zu2
為蛇若何	wei2 she2 ruo4 he2
為裘為箕	wei2 qiu2 wei2 ji1
為間	wei2 jian4
為難	wei2 nan2
為難之處	wei2 nan2 zhi1 chu4
為非作歹	wei2 fei1 zuo4 dai3
為頭	wei2 tou2
為頭把腦	wei2 tou2 ba3 nao3
為首	wei2 shou3
為鬼為蜮	wei2 gui3 wei2 yu4
為鬼為魅	wei2 gui3 wei2 mei4
爵仇	jue2 chou2
爵士樂	jue2 shi4 yue4
爵士音樂	jue2 shi4 yin1 yue4
父仇不共戴天	fu4 chou2 bu2 gong4 dai4 tian1
父債子還	fu4 zhai4 zi3 huan2
父喪	fu4 sang1
父天母地	fu4 tian1 mu3 di4
父析子荷	fu4 xi1 zi3 he4
父母親	fu4 mu3 qin1
父為子隱	fu4 wei4 zi3 yin3
父系制度	fu4 xi4 zhi4 du4
父親	fu4 qin1
父親節	fu4 qin1 jie2
爸爸	ba4 ba5
爹地	die1 di4
爹爹	die1 die5
爺們兒	ye2 men5 er5
爺爺	ye2 ye5
爽心豁目	shuang3 xin1 huo4 mu4
爽快	shuang3 kuai4
爽快	shuang3 kuai5
爽當	shuang3 dang1
爾當	er3 dang1
床子	chuang2 zi5
床楞	chuang2 leng2
床沿	chuang2 yan2
床鋪	chuang2 pu4
牆上泥皮	qiang2 shang4 ni2 pi2
牆倒眾人推	qiang2 dao3 zhong4 ren2 tui1
牆垛子	qiang2 duo3 zi5
牆有縫	qiang2 you3 feng4
片中	pian4 zhong1
片假名	pian4 jia3 ming2
片兒	pian1 er5
片兒警	pian4 er5 jing3
片刻	pian4 ke4
片刻不停	pian4 ke4 bu4 ting2
片刻不離	pian4 ke4 bu4 li2
片劑	pian1 ji4
片口張舌	pian4 kou3 zhang1 she2
片商	pian4 shang1
片善	pian4 shan4
片善小才	pian4 shan4 xiao3 cai2
片場	pian4 chang3
片子	pian1 zi5
片子	pian4 zi5
片岩	pian4 yan2
片心	pian4 xin1
片接寸附	pian4 jie1 cun4 fu4
片斷	pian4 duan4
片時	pian4 shi2
片晌	pian4 shang3
片柳子	pian4 liu3 zi5
片楮	pian4 chu3
片段	pian4 duan4
片瓦根椽	pian4 wa3 gen1 chuan2
片瓦無存	pian4 wa3 wu2 cun2
片甲不回	pian4 jia3 bu4 hui2
片甲不存	pian4 jia3 bu4 cun2
片甲不留	pian4 jia3 bu4 liu2
片甲無存	pian4 jia3 wu2 cun2
片石千鈞	pian4 shi2 qian1 jun1
片紙隻字	pian4 zhi3 zhi1 zi4
片言	pian4 yan2
片言一字	pian4 yan2 yi2 zi4
片言折獄	pian4 yan2 zhe2 yu4
片言立決	pian4 yan2 li4 jue2
片言隻字	pian4 yan2 zhi1 zi4
片言隻語	pian4 yan2 zhi1 yu3
片許	pian4 xu3
片語	pian4 yu3
片語隻字	pian4 yu3 zhi1 zi4
片語隻辭	pian4 yu3 zhi1 ci2
片長	pian4 chang2
片長末技	pian4 chang2 mo4 ji4
片長薄技	pian4 chang2 bo2 ji4
片雲遮頂	pian4 yun2 zhe1 ding3
片霎	pian4 sha4
片面	pian4 mian4
片面之言	pian4 mian4 zhi1 yan2
片面之詞	pian4 mian4 zhi1 ci2
片頭	pian4 tou2
片鱗半爪	pian4 lin2 ban4 zhua3
片鱗碎甲	pian4 lin2 sui4 jia3
片麻岩	pian4 ma2 yan2
版刻	ban3 ke1
版築	ban3 zhu2
版築飯牛	ban3 zhu2 fan4 niu2
牌告利率	pai2 gao4 li4 lv4
牌坊	pai2 fang5
牌子	pai2 zi5
牌子曲	pai2 zi5 qu3
牌搭子	pai2 da1 zi5
牌樓	pai2 lou2
牌樓	pai2 lou5
牓子	bang3 zi5
牓帖	bang3 tie3
牙冠	ya2 guan1
牙刷	ya2 shua1
牙印子	ya2 yin4 zi5
牙子	ya2 zi5
牙將	ya2 jiang4
牙根癢癢	ya2 gen1 yang3 yang5
牙爪	ya2 zhua3
牙癢癢	ya2 yang3 yang5
牙磣	ya2 chen5
牙科矯正學	ya2 ke1 jiao3 zheng4 xue2
牙結石	ya2 jie2 shi2
牙縫	ya2 feng4
牙縫兒	ya2 feng4 er5
牙縫高低	ya2 feng4 gao1 di1
牙行	ya2 hang2
牙鑽	ya2 zuan4
牛不喝水強按頭	niu2 bu4 he1 shui3 qiang2 an4 tou2
牛仔布	niu2 zi3 bu4
牛仔裝	niu2 zi3 zhuang1
牛勁	niu2 jin4
牛回磨轉	niu2 hui2 mo4 zhuan4
牛女佳期	niu2 nv3 jia1 qi2
牛山濯濯	niu2 shan1 zhuo2 zhuo2
牛比	niu2 bi1
牛氣	niu2 qi5
牛犢子	niu2 du2 zi5
牛皮癬	niu2 pi2 xian3
牛眠地	niu2 mian2 di4
牛筋牛降	niu2 jin1 niu2 jiang4
牛肉乾	niu2 rou4 gan1
牛肉場	niu2 rou4 chang2
牛脾氣	niu2 pi2 qi5
牛蹄子	niu2 ti2 zi5
牛頭不對馬嘴	niu2 tou2 bu2 dui4 ma3 zui3
牛鼻子	niu2 bi2 zi5
牛Ｂ	niu2 bi1
牝朝	pin4 chao2
牝瘧	pin4 nve4
牟利	mou2 li4
牟取	mou2 qu3
牟取暴利	mou2 qu3 bao4 li4
牟定	mou2 ding4
牟定縣	mou2 ding4 xian4
牟尼	mou2 ni2
牟平	mu4 ping2
牟平區	mu4 ping2 qu1
牡丹	mu3 dan1
牡丹	mu3 dan5
牡丹亭	mu3 dan1 ting2
牡丹亭	mu3 dan5 ting2
牡丹區	mu3 dan5 qu1
牡丹卡	mu3 dan5 ka3
牡丹坊	mu3 dan5 fang1
牡丹江	mu3 dan1 jiang1
牡丹江	mu3 dan5 jiang1
牡丹江地區	mu3 dan5 jiang1 di4 qu1
牡丹江市	mu3 dan5 jiang1 shi4
牡丹鄉	mu3 dan5 xiang1
牡丹雖好	mu3 dan1 sui1 hao3
牡丹雖好	mu3 dan5 sui1 hao3
牡牛	mu4 niu2
牢穩	lao2 wen5
牢落	lao2 luo4
牢靠	lao2 kao5
牢靠妥當	lao2 kao4 tuo3 dang4
牧地	mu4 di4
牧養納畜	mu4 yang3 na4 chu4
物以稀為貴	wu4 yi3 xi1 wei2 gui4
物價指數	wu4 jia4 zhi3 shu4
物我無間	wu4 wo3 wu2 jian4
物理結構	wu4 li3 jie2 gou4
物理量	wu4 li3 liang4
物盛則衰	wu4 sheng4 ze2 shuai1
物種	wu4 zhong3
物種起源	wu4 zhong3 qi3 yuan2
物累	wu4 lei3
物資供應	wu4 zi1 gong1 ying4
物質不滅	wu4 zhi2 bu2 mie4
物質不滅	wu4 zhi4 bu2 mie4
物質不滅定律	wu4 zhi2 bu2 mie4 ding4 lv4
物質不滅定律	wu4 zhi4 bu2 mie4 ding4 lv4
物質不滅律	wu4 zhi2 bu2 mie4 lv4
物質不滅律	wu4 zhi4 bu2 mie4 lv4
物質刺激	wu4 zhi2 ci4 ji1
物質刺激	wu4 zhi4 ci4 ji1
物質力量	wu4 zhi2 li4 liang4
物質力量	wu4 zhi4 li4 liang4
牲口	sheng1 kou3
牲口	sheng1 kou5
牲畜	sheng1 chu4
牲畜糞	sheng1 chu4 fen4
特別任務連	te4 bie2 ren4 wu5 lian2
特別待遇	te4 bie2 dai4 yu4
特別行政區	te4 bie2 xing2 zheng4 qu1
特利可得	te4 li4 ke3 de2
特務	te4 wu4
特務	te4 wu5
特地	te4 di4
特強	te4 qiang2
特徵向量	te4 zheng1 xiang4 liang4
特惠制度	te4 hui4 zhi4 du4
特惠待遇	te4 hui4 dai4 yu4
特拉法加廣場	te4 la1 fa3 jia1 guang3 chang3
特拉法爾加廣場	te4 la1 fa3 er3 jia1 guang3 chang3
特教	te4 jiao4
特殊函數	te4 shu1 han2 shu4
特殊教育	te4 shu1 jiao4 yu4
特煞	te4 sha4
特為	te4 wei4
特特為為	te4 te4 wei2 wei2
特種	te4 zhong3
特種作戰	te4 zhong3 zuo4 zhan4
特種兵	te4 zhong3 bing1
特種工藝	te4 zhong3 gong1 yi4
特種文書	te4 zhong3 wen2 shu1
特種空勤團	te4 zhong3 kong1 qin2 tuan2
特種考試	te4 zhong3 kao3 shi4
特種警察	te4 zhong4 jing3 cha2
特種部隊	te4 zhong3 bu4 dui4
特種鋼	te4 zhong3 gang1
特稱	te4 cheng1
特立尼達和多巴哥	te4 li4 ni2 da2 han4 duo1 ba1 ge1
特立尼達和多巴哥	te4 li4 ni2 da2 he2 duo1 ba1 ge1
特立獨行	te4 li4 du2 xing2
特藏	te4 cang2
特衛強	te4 wei4 qiang2
特許行業	te4 xu3 hang2 ye4
特調	te4 tiao2
特長	te4 chang2
特高頻率	te4 gao1 pin2 lv4
牽一髮而動全身	qian1 yi2 fa4 er2 dong4 quan2 shen1
牽一髮而動全身	qian1 yi4 fa3 er2 dong4 quan2 shen1
牽強	qian1 qiang3
牽強附會	qian1 qiang3 fu4 hui4
牽著鼻子走	qian1 zhe5 bi2 zi5 zou3
牽累	qian1 lei4
牽絲扳藤	qian1 si1 ban1 teng2
牽羊擔酒	qian1 yang2 dan1 jiu3
牽肚掛腸	qian1 du4 gua4 chang2
牽腸割肚	qian1 chang2 ge1 du4
牽腸掛肚	qian1 chang2 gua4 du4
牽頭	qian1 tou5
牽鼻子	qian1 bi2 zi5
犀渠	xi1 qu2
犁地	li2 di4
犁庭掃穴	li2 ting2 sao3 xue4
犁庭掃閭	li2 ting2 sao3 lv2
犄角	ji1 jiao3
犄角	ji1 jiao5
犍為	qian2 wei4
犍為縣	qian2 wei4 xian4
犒勞	kao4 lao4
犟勁	jiang4 jin4
犟勁兒	jiang4 jin4 er5
犢子	du2 zi5
犢車	du2 ju1
犬夜叉	quan3 ye4 cha4
犬牙差互	quan3 ya2 cha1 hu4
犬牙相制	quan3 ya2 xiang1 zhi4
犬牙相臨	quan3 ya2 xiang1 lin2
犬牙相錯	quan3 ya2 xiang1 cuo4
犬牙鷹爪	quan3 ya2 ying1 zhao3
犬種	quan3 zhong3
犯不著	fan4 bu4 zhao2
犯不著	fan4 bu5 zhao2
犯勁	fan4 jin4
犯得上	fan4 de5 shang4
犯得著	fan4 de5 zhao2
犯忌諱	fan4 ji4 hui5
犯惡	fan4 e4
犯拙	fan4 zhuo2
犯牛勁	fan4 niu2 jin4
犯相	fan4 xiang4
犯節氣	fan4 jie2 qi5
犯罪率	fan4 zui4 lv4
犯罪行為	fan4 zui4 xing2 wei2
犯而不校	fan4 er2 bu2 jiao4
犯脾氣	fan4 pi2 qi5
犯調	fan4 diao4
犯闕	fan4 que4
犴圄	han4 yu3
狀子	zhuang4 zi5
狂且	kuang2 ju1
狂吟老監	kuang2 yin2 lao3 jian1
狂哮	kuang2 xiao4
狂奔	kuang2 ben1
狂想曲	kuang2 xiang3 qu3
狂濤巨浪	kuang2 tao2 ju4 lang4
狂濤駭浪	kuang2 tao2 hai4 lang4
狂熱分子	kuang2 re4 fen4 zi3
狂相	kuang2 xiang4
狂華	kuang2 hua1
狂跌	kuang2 die2
狂轟濫炸	kuang2 hong1 lan4 zha4
狄奧多‧阿多諾	di2 ao4 duo1 eng3 a1 duo1 nuo4
狄斯奈樂園	di2 si1 nai4 le4 yuan2
狄斯耐卡通	di2 si1 nai4 ka3 tong1
狄斯耐樂園	di2 si1 nai4 le4 yuan2
狄更斯	di2 geng1 si1
狄良突盧	di2 liang2 tu2 lu2
狌狌	xing1 xing1
狎弄	xia2 nong4
狎玩	xia2 wan4
狐假虎威	hu2 jia3 hu3 wei1
狐假鴟張	hu2 jia3 chi1 zhang1
狐埋狐搰	hu2 mai2 hu2 hu2
狐奔鼠竄	hu2 ben1 shu3 cuan4
狐媚子	hu2 mei4 zi5
狐狸	hu2 li5
狐狸尾巴	hu2 li5 wei3 ba5
狐狸座	hu2 li5 zuo4
狐狸狗	hu2 li5 gou3
狐狸精	hu2 li5 jing1
狐臊	hu2 sao1
狐臭	hu2 chou4
狐藉虎威	hu2 jie4 hu3 wei1
狐裘蒙戎	hu2 qiu2 meng2 rong2
狐騷臭	hu2 sao1 chou4
狗仔隊	gou3 zai3 dui4
狗嘴裡還有象牙	gou3 zui3 li5 hai2 you3 xiang4 ya2
