㓦劃	bo4 hua4
一弛一張	yi4 chi2 yi4 zhang1
一張一弛	yi4 zhang1 yi4 chi2
一彈指	yi4 tan2 zhi3
一彈指頃	yi4 tan2 zhi3 qing3
一得	yi4 de2
一得之功	yi4 de2 zhi1 gong1
一得之愚	yi4 de2 zhi1 yu2
一得之見	yi4 de2 zhi1 jian4
一念之差	yi2 nian4 zhi1 cha1
一念之間	yi2 nian4 zhi1 jian1
一怔	yi2 leng4
一息	yi4 xi1
一息	yi4 xi2
一息奄奄	yi4 xi1 yan1 yan1
一息奄奄	yi4 xi2 yan1 yan1
一息尚存	yi4 xi1 shang4 cun2
一息尚存	yi4 xi2 shang4 cun2
一意孤行	yi2 yi4 gu1 xing2
一應	yi4 ying1
一應俱全	yi4 ying1 ju4 quan2
一扎腳	yi4 zha1 jiao3
一打	yi4 da2
一打三分低	yi4 da3 san1 fen1 di1
一扠	yi4 zha3
一技之長	yi2 ji4 zhi1 chang2
一把子	yi4 ba3 zi5
一把尿	yi4 ba3 niao4
一把抓	yi4 ba3 zhua1
一把死拿	yi4 ba3 si3 na2
一把鑰匙開一把鎖	yi4 ba3 yao4 shi5 kai1 yi4 ba3 suo3
一折	yi4 zhe2
一折一磨	yi4 zhe2 yi4 mo2
一折兩段	yi4 zhe2 liang3 duan4
一折八扣	yi4 zhe2 ba1 kou4
一抹	yi4 mo3
一抿子	yi4 min3 zi5
一拍兩散	yi4 pai1 liang3 san4
一拍即合	yi4 pai1 ji2 he2
一掃	yi4 sao3
一掃而光	yi4 sao3 er2 guang1
一掃而空	yi4 sao3 er2 kong1
一探究竟	yi2 tan4 jiu4 jing4
一搖三晃	yi4 yao2 san1 huang4
一摑一掌血	yi4 guo2 yi4 zhang3 xie3
一撇	yi4 pie3
一撥兒	yi4 bo1 er5
一擁而上	yi4 yong1 er2 shang4
一擁而上	yi4 yong3 er2 shang4
一擁而進	yi4 yong3 er2 jin4
一操	yi4 cao1
一擲千金	yi2 zhi4 qian1 jin1
一擲千金	yi4 zhi2 qian1 jin1
一擲百萬	yi2 zhi4 bai3 wan4
一擲百萬	yi4 zhi2 bai3 wan4
一攬子	yi4 lan3 zi5
一改故轍	yi4 gai3 gu4 zhe2
一敗塗地	yi2 bai4 tu2 di4
一斗米養個恩人	yi4 dou3 mi3 yang3 ge5 en1 ren2
一日為師	yi2 ri4 wei2 shi1
一星子	yi4 xing1 zi5
一時之間	yi4 shi2 zhi1 jian1
一時半會	yi4 shi2 ban4 hui4
一時半會兒	yi4 shi2 ban4 hui4 er5
